Viper_body

Right Surface Points
        x()          y()          z()
       -0.236          0.034         -0.023
       -0.236          0.034         -0.026
       -0.236          0.033         -0.030
       -0.236          0.032         -0.033
       -0.236          0.031         -0.037
       -0.236          0.029         -0.040
       -0.236          0.027         -0.042
       -0.236          0.025         -0.045
       -0.236          0.022         -0.047
       -0.236          0.018         -0.049
       -0.236          0.015         -0.050
       -0.236          0.010         -0.052
       -0.236          0.006         -0.052
       -0.236          0.000         -0.052

  Cross Section   9
       -0.228          0.000          0.044
       -0.228          0.006          0.043
       -0.228          0.011          0.043
       -0.228          0.016          0.042
       -0.228          0.020          0.041
       -0.228          0.024          0.039
       -0.228          0.027          0.037
       -0.228          0.029          0.035
       -0.228          0.032          0.032
       -0.228          0.033          0.030
       -0.228          0.035          0.027
       -0.228          0.036          0.023
       -0.228          0.037          0.020
       -0.228          0.037          0.016
       -0.228          0.038          0.012
       -0.228          0.038          0.008
       -0.228          0.038          0.004
       -0.228          0.038          0.000
       -0.228          0.038         -0.004
       -0.228          0.038         -0.008
       -0.228          0.038         -0.013
       -0.228          0.038         -0.017
       -0.228          0.038         -0.022
       -0.228          0.037         -0.026
       -0.228          0.037         -0.030
       -0.228          0.036         -0.034
       -0.228          0.035         -0.038
       -0.228          0.033         -0.042
       -0.228          0.032         -0.045
       -0.228          0.029         -0.048
       -0.228          0.027         -0.051
       -0.228          0.024         -0.054
       -0.228          0.020         -0.056
       -0.228          0.016         -0.057
       -0.228          0.011         -0.059
       -0.228          0.006         -0.060
       -0.228          0.000         -0.060

  Cross Section  10
       -0.219          0.000          0.048
       -0.219          0.006          0.048
       -0.219          0.012          0.047
       -0.219          0.017          0.046
       -0.219          0.022          0.045
       -0.219          0.026          0.043
       -0.219          0.029          0.041
       -0.219          0.032          0.039
       -0.219          0.034          0.036
       -0.219          0.036          0.033
       -0.219          0.038          0.029
       -0.219          0.039          0.026
       -0.219          0.040          0.022
       -0.219          0.040          0.018
       -0.219          0.041          0.014
       -0.219          0.041          0.009
       -0.219          0.041          0.005
       -0.219          0.041          0.000
       -0.219          0.041         -0.005
       -0.219          0.041         -0.009
       -0.219          0.041         -0.014
       -0.219          0.041         -0.019
       -0.219          0.041         -0.024
       -0.219          0.040         -0.029
       -0.219          0.040         -0.033
       -0.219          0.039         -0.038
       -0.219          0.038         -0.042
       -0.219          0.036         -0.046
       -0.219          0.034         -0.050
       -0.219          0.032         -0.054
       -0.219          0.029         -0.057
       -0.219          0.026         -0.060
       -0.219          0.022         -0.062
       -0.219          0.017         -0.064
       -0.219          0.012         -0.066
       -0.219          0.006         -0.066
       -0.219          0.000         -0.067

  Cross Section  11
       -0.208          0.000          0.053
       -0.208          0.007          0.053
       -0.208          0.013          0.052
       -0.208          0.018          0.051
       -0.208          0.023          0.049
       -0.208          0.027          0.047
       -0.208          0.031          0.045
       -0.208          0.034          0.042
       -0.208          0.036          0.039
       -0.208          0.038          0.036
       -0.208          0.040          0.032
       -0.208          0.041          0.028
       -0.208          0.042          0.024
       -0.208          0.043          0.020
       -0.208          0.043          0.015
       -0.208          0.043          0.010
       -0.208          0.044          0.005
       -0.208          0.044          0.000
       -0.208          0.044         -0.005
       -0.208          0.044         -0.010
       -0.208          0.044         -0.016
       -0.208          0.043         -0.021
       -0.208          0.043         -0.026
       -0.208          0.043         -0.032
       -0.208          0.042         -0.037
       -0.208          0.041         -0.042
       -0.208          0.040         -0.046
       -0.208          0.038         -0.051
       -0.208          0.036         -0.055
       -0.208          0.034         -0.059
       -0.208          0.031         -0.062
       -0.208          0.027         -0.065
       -0.208          0.023         -0.068
       -0.208          0.018         -0.070
       -0.208          0.013         -0.072
       -0.208          0.007         -0.073
       -0.208          0.000         -0.073

  Cross Section  12
       -0.194          0.000          0.057
       -0.194          0.007          0.057
       -0.194          0.014          0.056
       -0.194          0.019          0.055
       -0.194          0.024          0.053
       -0.194          0.029          0.051
       -0.194          0.032          0.049
       -0.194          0.035          0.046
       -0.194          0.038          0.042
       -0.194          0.040          0.039
       -0.194          0.042          0.035
       -0.194          0.043          0.031
       -0.194          0.044          0.026
       -0.194          0.045          0.021
       -0.194          0.045          0.016
       -0.194          0.046          0.011
       -0.194          0.046          0.006
       -0.194          0.046          0.000
       -0.194          0.046         -0.005
       -0.194          0.046         -0.011
       -0.194          0.046         -0.017
       -0.194          0.046         -0.023
       -0.194          0.045         -0.028
       -0.194          0.045         -0.034
       -0.194          0.044         -0.039
       -0.194          0.043         -0.045
       -0.194          0.042         -0.050
       -0.194          0.040         -0.055
       -0.194          0.038         -0.059
       -0.194          0.035         -0.063
       -0.194          0.032         -0.067
       -0.194          0.029         -0.071
       -0.194          0.024         -0.073
       -0.194          0.019         -0.076
       -0.194          0.014         -0.077
       -0.194          0.007         -0.078
       -0.194          0.000         -0.079

  Cross Section  13
       -0.179          0.000          0.062
       -0.179          0.007          0.062
       -0.179          0.014          0.061
       -0.179          0.020          0.059
       -0.179          0.025          0.058
       -0.179          0.030          0.055
       -0.179          0.033          0.052
       -0.179          0.037          0.049
       -0.179          0.039          0.046
       -0.179          0.042          0.042
       -0.179          0.043          0.038
       -0.179          0.045          0.033
       -0.179          0.046          0.028
       -0.179          0.046          0.023
       -0.179          0.047          0.018
       -0.179          0.047          0.012
       -0.179          0.047          0.006
       -0.179          0.047          0.001
       -0.179          0.047         -0.005
       -0.179          0.047         -0.012
       -0.179          0.047         -0.018
       -0.179          0.047         -0.024
       -0.179          0.047         -0.030
       -0.179          0.046         -0.036
       -0.179          0.046         -0.042
       -0.179          0.045         -0.048
       -0.179          0.043         -0.053
       -0.179          0.042         -0.058
       -0.179          0.039         -0.063
       -0.179          0.037         -0.067
       -0.179          0.033         -0.071
       -0.179          0.030         -0.075
       -0.179          0.025         -0.078
       -0.179          0.020         -0.080
       -0.179          0.014         -0.082
       -0.179          0.007         -0.083
       -0.179          0.000         -0.084

  Cross Section  14
       -0.161          0.000          0.066
       -0.161          0.008          0.066
       -0.161          0.015          0.065
       -0.161          0.021          0.064
       -0.161          0.026          0.062
       -0.161          0.030          0.059
       -0.161          0.034          0.056
       -0.161          0.038          0.053
       -0.161          0.040          0.049
       -0.161          0.043          0.045
       -0.161          0.045          0.040
       -0.161          0.046          0.035
       -0.161          0.047          0.030
       -0.161          0.048          0.025
       -0.161          0.048          0.019
       -0.161          0.049          0.013
       -0.161          0.049          0.007
       -0.161          0.049          0.001
       -0.161          0.049         -0.005
       -0.161          0.049         -0.012
       -0.161          0.049         -0.018
       -0.161          0.049         -0.025
       -0.161          0.048         -0.031
       -0.161          0.048         -0.038
       -0.161          0.047         -0.044
       -0.161          0.046         -0.050
       -0.161          0.045         -0.056
       -0.161          0.043         -0.061
       -0.161          0.040         -0.066
       -0.161          0.038         -0.071
       -0.161          0.034         -0.075
       -0.161          0.030         -0.079
       -0.161          0.026         -0.082
       -0.161          0.021         -0.084
       -0.161          0.015         -0.086
       -0.161          0.008         -0.087
       -0.161          0.000         -0.088

  Cross Section  15
       -0.141          0.000          0.071
       -0.141          0.008          0.070
       -0.141          0.015          0.069
       -0.141          0.021          0.068
       -0.141          0.026          0.066
       -0.141          0.031          0.063
       -0.141          0.035          0.060
       -0.141          0.039          0.056
       -0.141          0.041          0.052
       -0.141          0.044          0.048
       -0.141          0.046          0.043
       -0.141          0.047          0.038
       -0.141          0.048          0.033
       -0.141          0.049          0.027
       -0.141          0.049          0.021
       -0.141          0.050          0.015
       -0.141          0.050          0.008
       -0.141          0.050          0.002
       -0.141          0.050         -0.005
       -0.141          0.050         -0.012
       -0.141          0.050         -0.019
       -0.141          0.050         -0.025
       -0.141          0.049         -0.032
       -0.141          0.049         -0.039
       -0.141          0.048         -0.045
       -0.141          0.047         -0.052
       -0.141          0.046         -0.058
       -0.141          0.044         -0.063
       -0.141          0.041         -0.068
       -0.141          0.039         -0.073
       -0.141          0.035         -0.078
